task_id,src_endpoint,dst_endpoint,range_begin,range_end,src_ip,src_port,dst_ip,dst_port,packet_size
8df6f09e-fc1b-4da4-a5dd-bb61d7a7cbdf,minio.minio-s.svc.cluster.local:80,ec2-3-36-70-139.ap-northeast-2.compute.amazonaws.com:9000,200,300,10.2.0.157,53114,3.36.70.139,9000,258
8df6f09e-fc1b-4da4-a5dd-bb61d7a7cbdf,minio.minio-s.svc.cluster.local:80,ec2-3-36-70-139.ap-northeast-2.compute.amazonaws.com:9000,200,300,10.2.0.157,53114,3.36.70.139,9000,152
8df6f09e-fc1b-4da4-a5dd-bb61d7a7cbdf,minio.minio-s.svc.cluster.local:80,ec2-3-36-70-139.ap-northeast-2.compute.amazonaws.com:9000,200,300,10.2.0.157,53114,3.36.70.139,9000,66
8df6f09e-fc1b-4da4-a5dd-bb61d7a7cbdf,minio.minio-s.svc.cluster.local:80,ec2-3-36-70-139.ap-northeast-2.compute.amazonaws.com:9000,200,300,10.2.0.157,53114,3.36.70.139,9000,66
e6b6e527-625b-4ca2-99e4-bca546fb3086,minio.minio-s.svc.cluster.local:80,ec2-13-209-96-73.ap-northeast-2.compute.amazonaws.com:9000,300,400,10.2.2.191,43374,10.2.0.81,9000,74
e6b6e527-625b-4ca2-99e4-bca546fb3086,minio.minio-s.svc.cluster.local:80,ec2-13-209-96-73.ap-northeast-2.compute.amazonaws.com:9000,300,400,10.2.2.191,43374,10.2.0.81,9000,66
e6b6e527-625b-4ca2-99e4-bca546fb3086,minio.minio-s.svc.cluster.local:80,ec2-13-209-96-73.ap-northeast-2.compute.amazonaws.com:9000,300,400,10.2.2.191,43374,10.2.0.81,9000,327
e6b6e527-625b-4ca2-99e4-bca546fb3086,minio.minio-s.svc.cluster.local:80,ec2-13-209-96-73.ap-northeast-2.compute.amazonaws.com:9000,300,400,10.2.2.191,43374,10.2.0.81,9000,66
e6b6e527-625b-4ca2-99e4-bca546fb3086,minio.minio-s.svc.cluster.local:80,ec2-13-209-96-73.ap-northeast-2.compute.amazonaws.com:9000,300,400,10.2.2.191,43374,10.2.0.81,9000,66
e6b6e527-625b-4ca2-99e4-bca546fb3086,minio.minio-s.svc.cluster.local:80,ec2-13-209-96-73.ap-northeast-2.compute.amazonaws.com:9000,300,400,10.2.2.191,43386,10.2.0.81,9000,74
e6b6e527-625b-4ca2-99e4-bca546fb3086,minio.minio-s.svc.cluster.local:80,ec2-13-209-96-73.ap-northeast-2.compute.amazonaws.com:9000,300,400,10.2.2.191,43386,10.2.0.81,9000,66
e6b6e527-625b-4ca2-99e4-bca546fb3086,minio.minio-s.svc.cluster.local:80,ec2-13-209-96-73.ap-northeast-2.compute.amazonaws.com:9000,300,400,10.2.2.191,43386,10.2.0.81,9000,337
e6b6e527-625b-4ca2-99e4-bca546fb3086,minio.minio-s.svc.cluster.local:80,ec2-13-209-96-73.ap-northeast-2.compute.amazonaws.com:9000,300,400,10.2.2.191,43386,10.2.0.81,9000,66
e6b6e527-625b-4ca2-99e4-bca546fb3086,minio.minio-s.svc.cluster.local:80,ec2-13-209-96-73.ap-northeast-2.compute.amazonaws.com:9000,300,400,10.2.2.191,43386,10.2.0.81,9000,66
e6b6e527-625b-4ca2-99e4-bca546fb3086,minio.minio-s.svc.cluster.local:80,ec2-13-209-96-73.ap-northeast-2.compute.amazonaws.com:9000,300,400,10.2.2.191,39034,13.209.96.73,9000,74
e6b6e527-625b-4ca2-99e4-bca546fb3086,minio.minio-s.svc.cluster.local:80,ec2-13-209-96-73.ap-northeast-2.compute.amazonaws.com:9000,300,400,10.2.2.191,39034,13.209.96.73,9000,66
e6b6e527-625b-4ca2-99e4-bca546fb3086,minio.minio-s.svc.cluster.local:80,ec2-13-209-96-73.ap-northeast-2.compute.amazonaws.com:9000,300,400,10.2.2.191,39034,13.209.96.73,9000,598
e6b6e527-625b-4ca2-99e4-bca546fb3086,minio.minio-s.svc.cluster.local:80,ec2-13-209-96-73.ap-northeast-2.compute.amazonaws.com:9000,300,400,10.2.2.191,39034,13.209.96.73,9000,66
e6b6e527-625b-4ca2-99e4-bca546fb3086,minio.minio-s.svc.cluster.local:80,ec2-13-209-96-73.ap-northeast-2.compute.amazonaws.com:9000,300,400,10.2.2.191,39034,13.209.96.73,9000,66
e6b6e527-625b-4ca2-99e4-bca546fb3086,minio.minio-s.svc.cluster.local:80,ec2-13-209-96-73.ap-northeast-2.compute.amazonaws.com:9000,300,400,10.2.2.191,39042,13.209.96.73,9000,74
e6b6e527-625b-4ca2-99e4-bca546fb3086,minio.minio-s.svc.cluster.local:80,ec2-13-209-96-73.ap-northeast-2.compute.amazonaws.com:9000,300,400,10.2.2.191,39042,13.209.96.73,9000,66
e6b6e527-625b-4ca2-99e4-bca546fb3086,minio.minio-s.svc.cluster.local:80,ec2-13-209-96-73.ap-northeast-2.compute.amazonaws.com:9000,300,400,10.2.2.191,39042,13.209.96.73,9000,773
e6b6e527-625b-4ca2-99e4-bca546fb3086,minio.minio-s.svc.cluster.local:80,ec2-13-209-96-73.ap-northeast-2.compute.amazonaws.com:9000,300,400,10.2.2.191,39042,13.209.96.73,9000,255
e6b6e527-625b-4ca2-99e4-bca546fb3086,minio.minio-s.svc.cluster.local:80,ec2-13-209-96-73.ap-northeast-2.compute.amazonaws.com:9000,300,400,10.2.2.191,39042,13.209.96.73,9000,152
e6b6e527-625b-4ca2-99e4-bca546fb3086,minio.minio-s.svc.cluster.local:80,ec2-13-209-96-73.ap-northeast-2.compute.amazonaws.com:9000,300,400,10.2.2.191,39042,13.209.96.73,9000,66
