id,job_id,task_id,timestamp,src_ip,dst_ip,src_port,dst_port,packet_size,protocol
379,9eab7baa-6bd1-43c1-b27e-b6c895391d82,0e3c1bcb-740f-4976-9d7d-9d0fb5d5cc02,2025-06-04 07:40:58.578196+00,10.2.1.147,10.2.3.58,60523,53,120,UDP
380,9eab7baa-6bd1-43c1-b27e-b6c895391d82,0e3c1bcb-740f-4976-9d7d-9d0fb5d5cc02,2025-06-04 07:40:58.580628+00,10.2.1.147,10.2.2.161,44079,53,116,UDP
381,9eab7baa-6bd1-43c1-b27e-b6c895391d82,0e3c1bcb-740f-4976-9d7d-9d0fb5d5cc02,2025-06-04 07:40:58.580743+00,10.2.1.147,10.2.3.58,58753,53,116,UDP
382,9eab7baa-6bd1-43c1-b27e-b6c895391d82,0e3c1bcb-740f-4976-9d7d-9d0fb5d5cc02,2025-06-04 07:40:58.58494+00,10.2.1.147,10.2.3.58,52004,53,102,UDP
383,9eab7baa-6bd1-43c1-b27e-b6c895391d82,0e3c1bcb-740f-4976-9d7d-9d0fb5d5cc02,2025-06-04 07:40:58.585149+00,10.2.1.147,10.2.2.161,50231,53,102,UDP
384,9eab7baa-6bd1-43c1-b27e-b6c895391d82,0e3c1bcb-740f-4976-9d7d-9d0fb5d5cc02,2025-06-04 07:40:58.591289+00,10.2.1.147,10.2.0.81,37710,9000,74,TCP
385,9eab7baa-6bd1-43c1-b27e-b6c895391d82,0e3c1bcb-740f-4976-9d7d-9d0fb5d5cc02,2025-06-04 07:40:58.593854+00,10.2.1.147,10.2.0.81,37710,9000,66,TCP
386,9eab7baa-6bd1-43c1-b27e-b6c895391d82,0e3c1bcb-740f-4976-9d7d-9d0fb5d5cc02,2025-06-04 07:40:58.594165+00,10.2.1.147,10.2.0.81,37710,9000,339,TCP
387,9eab7baa-6bd1-43c1-b27e-b6c895391d82,0e3c1bcb-740f-4976-9d7d-9d0fb5d5cc02,2025-06-04 07:40:58.597531+00,10.2.1.147,10.2.0.81,37710,9000,66,TCP
388,9eab7baa-6bd1-43c1-b27e-b6c895391d82,0e3c1bcb-740f-4976-9d7d-9d0fb5d5cc02,2025-06-04 07:40:58.597725+00,10.2.1.147,10.2.0.81,37710,9000,66,TCP
389,9eab7baa-6bd1-43c1-b27e-b6c895391d82,0e3c1bcb-740f-4976-9d7d-9d0fb5d5cc02,2025-06-04 07:40:58.598769+00,10.2.1.147,10.2.2.161,46802,53,153,UDP
390,9eab7baa-6bd1-43c1-b27e-b6c895391d82,0e3c1bcb-740f-4976-9d7d-9d0fb5d5cc02,2025-06-04 07:40:58.598926+00,10.2.1.147,10.2.2.161,33472,53,153,UDP
391,9eab7baa-6bd1-43c1-b27e-b6c895391d82,0e3c1bcb-740f-4976-9d7d-9d0fb5d5cc02,2025-06-04 07:40:58.608069+00,10.2.1.147,10.2.2.161,36618,53,141,UDP
392,9eab7baa-6bd1-43c1-b27e-b6c895391d82,0e3c1bcb-740f-4976-9d7d-9d0fb5d5cc02,2025-06-04 07:40:58.608164+00,10.2.1.147,10.2.2.161,41670,53,141,UDP
393,9eab7baa-6bd1-43c1-b27e-b6c895391d82,0e3c1bcb-740f-4976-9d7d-9d0fb5d5cc02,2025-06-04 07:40:58.611189+00,10.2.1.147,10.2.2.161,38696,53,137,UDP
394,9eab7baa-6bd1-43c1-b27e-b6c895391d82,0e3c1bcb-740f-4976-9d7d-9d0fb5d5cc02,2025-06-04 07:40:58.611325+00,10.2.1.147,10.2.3.58,56373,53,137,UDP
395,9eab7baa-6bd1-43c1-b27e-b6c895391d82,0e3c1bcb-740f-4976-9d7d-9d0fb5d5cc02,2025-06-04 07:40:58.617074+00,10.2.1.147,10.2.3.58,38018,53,123,UDP
396,9eab7baa-6bd1-43c1-b27e-b6c895391d82,0e3c1bcb-740f-4976-9d7d-9d0fb5d5cc02,2025-06-04 07:40:58.617096+00,10.2.1.147,10.2.3.58,52975,53,123,UDP
397,9eab7baa-6bd1-43c1-b27e-b6c895391d82,0e3c1bcb-740f-4976-9d7d-9d0fb5d5cc02,2025-06-04 07:40:58.620427+00,10.2.1.147,3.36.70.139,41772,9000,74,TCP
398,9eab7baa-6bd1-43c1-b27e-b6c895391d82,0e3c1bcb-740f-4976-9d7d-9d0fb5d5cc02,2025-06-04 07:40:58.628125+00,10.2.1.147,3.36.70.139,41772,9000,66,TCP
399,9eab7baa-6bd1-43c1-b27e-b6c895391d82,0e3c1bcb-740f-4976-9d7d-9d0fb5d5cc02,2025-06-04 07:40:58.62852+00,10.2.1.147,3.36.70.139,41772,9000,600,TCP
400,9eab7baa-6bd1-43c1-b27e-b6c895391d82,0e3c1bcb-740f-4976-9d7d-9d0fb5d5cc02,2025-06-04 07:40:58.637025+00,10.2.1.147,3.36.70.139,41772,9000,66,TCP
401,9eab7baa-6bd1-43c1-b27e-b6c895391d82,0e3c1bcb-740f-4976-9d7d-9d0fb5d5cc02,2025-06-04 07:40:58.637281+00,10.2.1.147,3.36.70.139,41772,9000,66,TCP
